agri- /ˈeɪɡri/ - 田地，农业
arch- /ɑːrtʃ/ - 首要，统治
astro- /ˈæstroʊ/ - 星星，太空
audi- /ˈɔːdi/ - 听
bell- /bɛl/ - 战争
bio- /ˈbaɪoʊ/ - 生命
candi- /ˈkændi/ - 白，亮
cap- /kæp/ - 拿，抓
cardi- /ˈkɑːrdi/ - 心脏
carn- /kɑːrn/ - 肉
chrono- /ˈkrəʊnoʊ/ - 时间
civ- /sɪv/ - 公民
clim- /klaɪm/ - 气候
co- /koʊ/ - 共同
contra- /ˈkɒntrə/ - 反对
corp- /kɔːrp/ - 身体
crim- /krɪm/ - 犯罪
crystal- /ˈkrɪstəl/ - 结晶
cyclo- /ˈsaɪkloʊ/ - 循环
demo- /ˈdiːmoʊ/ - 人民
dent- /dɛnt/ - 牙齿
dipl- /dɪpl/ - 双重，外交
doc- /dɑk/ - 教
dom- /dɑm/ - 家，控制
eco- /ˈiːkoʊ/ - 经济，环境
edu- /ˈɛdju/ - 教育
electr- /ɪˈlɛktrɪk/ - 电
em- /ɛm/ - 在内
equ- /ˈiːkwə/ - 相等
ethno- /ˈɛθnoʊ/ - 种族
euro- /ˈjʊroʊ/ - 欧洲
fact- /fækt/ - 做，制造
feder- /ˈfiːdər/ - 联盟
fert- /fɜːrt/ - 多产
fil- /fɪl/ - 线
fin- /fɪn/ - 终结
flu- /flu/ - 流动
form- /fɔrm/ - 形成
fract- /frækt/ - 断裂
geo- /ˈdʒiəloʊ/ - 地，地球
gig- /ɡɪɡ/ - 千百万
glob- /ɡlɒb/ - 地球，球体
grad- /ɡræd/ - 步，走
gram- /ɡræm/ - 写，画
graph- /ˈɡræf/ - 写，记录
greg- /ɡrɛɡ/ - 群，集合
hemo- /ˈhiːmoʊ/ - 血
hepat- /ˈhɛpət/ - 肝
hidr- /ˈhaɪdrə/ - 水
homo- /ˈhoʊmoʊ/ - 相同
hydr- /ˈhaɪdrə/ - 水
ideo- /aɪˈdiːoʊ/ - 思想
il- /ɪl/ - 不
im- /ɪm/ - 不
in- /ɪn/ - 在内，向内
inter- /ɪnˈtɜːr/ - 在...之间
ir- /ɜːr/ - 不（仅用于以r开头的词前）
junct- /ˈdʒʌŋkt/ - 连接
kine- /ˈkɪni/ - 运动
later- /ˈleɪtər/ - 侧面
leg- /liːɡ/ - 读，收集
leth- /ˈleθ/ - 遗忘
lev- /liːv/ - 举起
liber- /ˈlɪbər/ - 自由
lingu- /ˈlɪŋɡwə/ - 语言
log- /lɒɡ/ - 说
long- /lɔːŋ/ - 长
